अरेबिक,फारसी,शुद्ध हिंदी,मिश्र,अंग्रेजी,Context
तरीका,,पद्धति,,,
,याद,स्मरण,,,
,खुशी,प्रसन्नता,,delightness,
,नरम,कोमल,,soft,
"क़िताब, किताब",,"पुस्तक, ग्रन्थ",,book,
,शायद,सम्भवतः,,,
तौर,,रूप,,,आम तौर पर
,शामिल (होना),"समावेश, समाविष्ट ",,include,
इमारत,,भवन,,building,
"तसवीर, तस्वीर",,चित्र,,,
"फर्श, फ़र्श, फरश",,,,,
,"चीज,चीज़,चीजें ","पदार्थ, वस्तु",,,
,याद,"स्मरण, अनुबाधन, स्मर",,,
खाली,,रिक्त,,,खाली स्थान भरें -> रिक्त स्थान भरें or लुप्त स्थान भरें / ढूँढें
,आसानी से,,,,
फैसला,,निर्णय,,,
,परवाह,,,,
,दोस्त,मित्र,,,
उम्र,,आयु,,,
शर्त,,"प्रतिबन्ध, प्रतिबंध",,,
,नाखून,,,,
,जानवर,"पशु, प्राणि",,,
,मौसम,,,,
सुराग,,,,,
,,"चयनित, चयन कृत, चयित, चुना, चुना हुआ",चुनिंदा [हिं० चुनना+फा० इंदा (प्रत्य०)],selected,
"सवाल, सवालों ",,"प्रश्न, प्रश्नों",,,
जवाब,,उत्तर,,,
,तलाशने,"ढूँढने, खोजने",,,
,कोशिश,"प्रयत्न, प्रयास",,,
,बुजुर्ग,,,,
"सबूतों, सबूत, सुबूत",,प्रमाण,,,
दुनिया,,"जगत, संसार, जग, विश्व",,,
,साल,वर्ष,,,
तरीकों,तरीकों,पद्धतियों,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
गुमराह,,भ्रमित,,,
अकसर,,प्रायः,,,